YEAR,TEAM,RUNS_SCORED,WICKETS_LOST,WICKETS_TAKEN,AGAINST,WINNER,VENUE,HOST_COUNTRY,CHAMPION
1975,AUS,192,10,3,WI,WI,LONDON,ENGLAND,WEST INDIES
1975,AUS,274,10,8,WI,WI,LONDON,ENGLAND,WEST INDIES
1975,ENG,93,10,6,AUS,AUS,LEEDS,ENGLAND,WEST INDIES
1975,IND,132,3,4,ENG,ENG,LONDON,ENGLAND,WEST INDIES
1975,IND,230,10,6,NZ,NZ,MANCHESTER,ENGLAND,WEST INDIES
1975,PAK,205,10,7,AUS,AUS,LEEDS,ENGLAND,WEST INDIES
1975,PAK,266,7,9,WI,WI,BIRMINGHAM,ENGLAND,WEST INDIES
1975,SL,86,10,1,WI,WI,MANCHESTER,ENGLAND,WEST INDIES
1975,SL,276,4,5,AUS,AUS,LONDON,ENGLAND,WEST INDIES
1975,SL,138,10,6,PAK,PAK,NOTTHINGHAM,ENGLAND,WEST INDIES
1975,EA,128,5,8,NZ,NZ,BIRMINGHAM,ENGLAND,WEST INDIES
1975,EA,120,10,0,IND,IND,LEEDS,ENGLAND,WEST INDIES
1975,EA,94,10,5,ENG,ENG,BIRMINGHAM,ENGLAND,WEST INDIES
1975,NZ,186,10,6,ENG,ENG,NOTTHINGHAM,ENGLAND,WEST INDIES
1975,NZ,158,10,5,WI,WI,LONDON,ENGLAND,WEST INDIES
1975,AUS,278,7,10,PAK,AUS,LEEDS,ENGLAND,WEST INDIES
1975,AUS,328,5,4,SL,AUS,LONDON,ENGLAND,WEST INDIES
1975,AUS,94,6,10,ENG,AUS,LEEDS,ENGLAND,WEST INDIES
1975,ENG,334,4,3,IND,ENG,LONDON,ENGLAND,WEST INDIES
1975,ENG,266,6,10,NZ,ENG,NOTTHINGHAM,ENGLAND,WEST INDIES
1975,ENG,290,5,10,EA,ENG,BIRMINGHAM,ENGLAND,WEST INDIES
1975,IND,123,0,10,EA,IND,LEEDS,ENGLAND,WEST INDIES
1975,PAK,330,6,10,SL,PAK,NOTTHINGHAM,ENGLAND,WEST INDIES
1975,WI,87,1,10,SL,WI,MANCHESTER,ENGLAND,WEST INDIES
1975,WI,267,9,7,PAK,WI,BIRMINGHAM,ENGLAND,WEST INDIES
1975,WI,195,3,10,AUS,WI,LONDON,ENGLAND,WEST INDIES
1975,WI,159,5,10,NZ,WI,LONDON,ENGLAND,WEST INDIES
1975,WI,291,8,10,AUS,WI,LONDON,ENGLAND,WEST INDIES
1975,NZ,309,5,8,EA,NZ,BIRMINGHAM,ENGLAND,WEST INDIES
1975,NZ,233,6,10,IND,NZ,MANCHESTER,ENGLAND,WEST INDIES
1979,IND,190,10,1,WI,WI,BIRMINGHAM,ENGLAND,WEST INDIES
1979,IND,182,10,2,NZ,NZ,LEEDS,ENGLAND,WEST INDIES
1979,IND,238,10,5,SL,SL,MANCHESTER,ENGLAND,WEST INDIES
1979,NZ,212,9,7,WI,WI,NOTTINGHAM,ENGLAND,WEST INDIES
1979,NZ,212,9,8,ENG,ENG,MANCHESTER,ENGLAND,WEST INDIES
1979,SL,189,10,1,NZ,NZ,NOTTINGHAM,ENGLAND,WEST INDIES
1979,ENG,194,9,10,WI,WI,LONDON,ENGLAND,WEST INDIES
1979,AUS,159,9,4,ENG,ENG,LONDON,ENGLAND,WEST INDIES
1979,AUS,197,10,7,PAK,PAK,NOTTINGHAM,ENGLAND,WEST INDIES
1979,CAN,139,9,2,PAK,PAK,LEEDS,ENGLAND,WEST INDIES
1979,CAN,45,10,2,ENG,ENG,MANCHESTER,ENGLAND,WEST INDIES
1979,CAN,105,10,3,AUS,AUS,BIRMINGHAM,ENGLAND,WEST INDIES
1979,PAK,151,10,9,ENG,ENG,LEEDS,ENGLAND,WEST INDIES
1979,PAK,250,10,6,WI,WI,LONDON,ENGLAND,WEST INDIES
1979,WI,190,10,1,IND,WI,BIRMINGHAM,ENGLAND,WEST INDIES
1979,WI,244,7,9,NZ,WI,NOTTINGHAM,ENGLAND,WEST INDIES
1979,WI,293,6,10,PAK,WI,LONDON,ENGLAND,WEST INDIES
1979,WI,286,9,10,ENG,WI,LONDON,ENGLAND,WEST INDIES
1979,NZ,190,1,10,SL,NZ,NOTTINGHAM,ENGLAND,WEST INDIES
1979,NZ,183,2,10,IND,NZ,LEEDS,ENGLAND,WEST INDIES
1979,SL,238,5,10,IND,SL,MANCHESTER,ENGLAND,WEST INDIES
1979,ENG,160,4,9,AUS,ENG,LONDON,ENGLAND,WEST INDIES
1979,ENG,46,2,10,CAN,ENG,MANCHESTER,ENGLAND,WEST INDIES
1979,ENG,165,9,10,PAK,ENG,LEEDS,ENGLAND,WEST INDIES
1979,ENG,221,8,9,NZ,ENG,MANCHESTER,ENGLAND,WEST INDIES
