YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
1975,AUS,278,7,10,PAK,WON,LEEDS,WEST INDIES
1975,AUS,328,5,4,SL,WON,LONDON,WEST INDIES
1975,AUS,192,10,3,WI,LOST,LONDON,WEST INDIES
1975,AUS,94,6,10,ENG,WON,LEEDS,WEST INDIES
1975,AUS,274,10,8,WI,LOST,LONDON,WEST INDIES
1975,ENG,334,4,3,IND,WON,LONDON,WEST INDIES
1975,ENG,266,6,10,NZ,WON,NOTTHINGHAM,WEST INDIES
1975,ENG,290,5,10,EA,WON,BIRMINGHAM,WEST INDIES
1975,ENG,93,10,6,AUS,LOST,LEEDS,WEST INDIES
1975,IND,132,3,4,ENG,LOST,LONDON,WEST INDIES
1975,IND,123,0,10,EA,WON,LEEDS,WEST INDIES
1975,IND,230,10,6,NZ,LOST,MANCHESTER,WEST INDIES
1975,PAK,205,10,7,AUS,LOST,LEEDS,WEST INDIES
1975,PAK,266,7,9,WI,LOST,BIRMINGHAM,WEST INDIES
1975,PAK,330,6,10,SL,WON,NOTTHINGHAM,WEST INDIES
1975,SL,86,10,1,WI,LOST,MANCHESTER,WEST INDIES
1975,SL,276,4,5,AUS,LOST,LONDON,WEST INDIES
1975,SL,138,10,6,PAK,LOST,NOTTHINGHAM,WEST INDIES
1975,WI,87,1,10,SL,WON,MANCHESTER,WEST INDIES
1975,WI,267,9,7,PAK,WON,BIRMINGHAM,WEST INDIES
1975,WI,195,3,10,AUS,WON,LONDON,WEST INDIES
1975,WI,159,5,10,NZ,WON,LONDON,WEST INDIES
1975,WI,291,8,10,AUS,WON,LONDON,WEST INDIES
1975,EA,128,5,8,NZ,LOST,BIRMINGHAM,WEST INDIES
1975,EA,120,10,0,IND,LOST,LEEDS,WEST INDIES
1975,EA,94,10,5,ENG,LOST,BIRMINGHAM,WEST INDIES
1975,NZ,309,5,8,EA,WON,BIRMINGHAM,WEST INDIES
1975,NZ,186,10,6,ENG,LOST,NOTTHINGHAM,WEST INDIES
1975,NZ,233,6,10,IND,WON,MANCHESTER,WEST INDIES
1975,NZ,158,10,5,WI,LOST,LONDON,WEST INDIES
1979,IND,190,10,1,WI,LOST,BIRMINGHAM,WEST INDIES
1979,IND,182,10,2,NZ,LOST,LEEDS,WEST INDIES
1979,IND,238,10,5,SL,LOST,MANCHESTER,WEST INDIES
1979,WI,190,10,1,IND,WON,BIRMINGHAM,WEST INDIES
1979,WI,NA,NR,NR,SL,NR,LONDON,WEST INDIES
1979,WI,244,7,9,NZ,WON,NOTTINGHAM,WEST INDIES
1979,WI,293,6,10,PAK,WON,LONDON,WEST INDIES
1979,WI,286,9,10,ENG,WON,LONDON,WEST INDIES
1979,NZ,190,1,10,SL,WON,NOTTINGHAM,WEST INDIES
